Scottsdale,Arizona,230512,33°40′07″N,111°49′25″W
Baton Rouge,Louisiana,228895,30°26′55″N,91°07′33″W
Fremont,California,228758,37°29′40″N,121°56′28″W
Richmond,Virginia,217853,37°31′53″N,77°28′34″W
Boise,Idaho,216282,43°35′55″N,116°13′52″W
San Bernardino,California,215213,34°08′21″N,117°17′43″W
Birmingham,Alabama,212247,33°31′39″N,86°47′56″W
Spokane,Washington,212052,47°40′25″N,117°25′00″W
Rochester,New York,209983,43°10′12″N,77°37′01″W
Modesto,California,209286,37°39′39″N,120°59′21″W
Des Moines,Iowa,209220,41°34′26″N,93°37′00″W
Oxnard,California,205437,34°12′08″N,119°12′17″W
Tacoma,Washington,205159,47°15′08″N,122°27′35″W
Fontana,California,204950,34°06′32″N,117°27′46″W
Fayetteville,North Carolina,203948,35°05′06″N,78°58′49″W
Moreno Valley,California,202976,33°55′24″N,117°12′21″W
Columbus,Georgia,200887,32°30′37″N,84°52′30″W
Huntington Beach,California,200809,33°41′26″N,118°00′33″W
Yonkers,New York,200667,40°56′45″N,73°52′03″W
Montgomery,Alabama,200481,32°20′47″N,86°16′07″W
Aurora,Illinois,200456,41°45′49″N,88°17′24″W
Glendale,California,200167,34°10′53″N,118°14′45″W
Shreveport,Louisiana,198242,32°28′01″N,93°47′34″W
Akron,Ohio,197859,41°04′50″N,81°31′17″W
Little Rock,Arkansas,197706,34°43′31″N,92°21′31″W
Amarillo,Texas,197254,35°11′52″N,101°49′43″W
Augusta,Georgia,196741,33°21′56″N,82°04′24″W
Mobile,Alabama,194675,30°40′06″N,88°06′01″W
Grand Rapids,Michigan,193792,42°57′40″N,85°39′20″W
Salt Lake City,Utah,190884,40°46′43″N,111°55′53″W
Huntsville,Alabama,188226,34°47′03″N,86°32′20″W
Tallahassee,Florida,188107,30°27′18″N,84°15′12″W
Grand Prairie,Texas,185453,32°41′03″N,97°01′16″W
Overland Park,Kansas,184525,38°53′20″N,94°41′26″W
Knoxville,Tennessee,184281,35°58′15″N,83°56′47″W
Brownsville,Texas,183046,26°01′06″N,97°27′14″W
Worcester,Massachusetts,183016,42°16′10″N,71°48′28″W
Newport News,Virginia,182965,37°04′34″N,76°31′18″W
Santa Clarita,California,181557,34°24′18″N,118°30′17″W
Providence,Rhode Island,179154,41°49′23″N,71°25′08″W
Fort Lauderdale,Florida,176013,26°08′29″N,80°08′38″W
Garden Grove,California,175078,33°46′44″N,117°57′38″W
Oceanside,California,174558,33°13′29″N,117°18′22″W
Rancho Cucamonga,California,174305,34°07′24″N,117°33′51″W
Santa Rosa,California,174170,38°26′48″N,122°42′22″W
Port St. Lucie,Florida,174110,27°16′52″N,80°23′02″W
Chattanooga,Tennessee,173778,35°03′59″N,85°14′50″W
Tempe,Arizona,172816,33°23′18″N,111°55′54″W
Jackson,Mississippi,171155,32°18′57″N,90°12′46″W
Cape Coral,Florida,169854,26°38′35″N,81°59′50″W
Vancouver,Washington,169294,45°38′14″N,122°35′47″W
Ontario,California,169089,34°02′22″N,117°36′32″W
Sioux Falls,South Dakota,168586,43°32′18″N,96°43′55″W
Peoria,Arizona,166934,33°47′16″N,112°18′40″W
Springfield,Missouri,165378,37°11′39″N,93°17′29″W
Pembroke Pines,Florida,164626,26°01′16″N,80°20′25″W
Elk Grove,California,163553,38°24′52″N,121°23′06″W
Salem,Oregon,161637,44°55′25″N,123°01′23″W
Corona,California,161486,33°51′45″N,117°33′50″W
Lancaster,California,161043,34°41′37″N,118°10′31″W
Eugene,Oregon,160561,44°03′24″N,123°06′58″W
Palmdale,California,158279,34°35′29″N,118°06′32″W
McKinney,Texas,156767,33°12′04″N,96°40′05″W
Salinas,California,156677,36°41′25″N,121°38′01″W
Fort Collins,Colorado,156480,40°32′54″N,105°03′53″W
Cary,North Carolina,155227,35°46′56″N,78°48′51″W
Hayward,California,154612,37°37′41″N,122°06′23″W
Springfield,Massachusetts,153991,42°06′56″N,72°32′24″W
Pasadena,Texas,153887,29°39′30″N,95°09′02″W
Macon,Georgia,153691,32°30′18″N,83°23′46″W
Pomona,California,153350,34°03′31″N,117°45′41″W
Alexandria,Virginia,150575,38°49′06″N,77°04′55″W
Escondido,California,150243,33°08′01″N,117°04′24″W
Sunnyvale,California,149980,37°23′09″N,122°01′35″W
Lakewood,Colorado,149643,39°41′56″N,105°07′03″W
Kansas City,Kansas,149636,39°07′21″N,94°44′30″W
Rockford,Illinois,149123,42°15′48″N,89°03′46″W
Torrance,California,148495,33°50′06″N,118°20′29″W
Hollywood,Florida,148047,26°01′52″N,80°09′53″W
Joliet,Illinois,147928,41°31′05″N,88°09′30″W
Bridgeport,Connecticut,147612,41°11′15″N,73°11′45″W
Clarksville,Tennessee,146806,36°33′59″N,87°20′43″W
Paterson,New Jersey,146753,40°54′53″N,74°09′46″W
Naperville,Illinois,146128,41°44′57″N,88°09′43″W
Frisco,Texas,145035,33°09′04″N,96°49′09″W
Mesquite,Texas,144416,32°45′50″N,96°35′33″W
Savannah,Georgia,144352,32°00′09″N,81°09′13″W
Syracuse,New York,144263,43°02′28″N,76°08′37″W
